Sample,office,x,y,Cami,Heidi,Urza,Lily,Fritzy,ThorA,Anda,Vito,Charlie
sample_52,Tracy/Silke,2,1,0.043478260869565216,0.0,0.0,,0.0,,0.6666666666666666,,0.3333333333333333
sample_53,Tracy/Silke,2,2,0.0,,,1.0,,0.0,1.0,,0.0
sample_54,Tracy/Silke,3,1,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.47368421052631576,0.0,1.0
sample_55,Tracy/Silke,2,5,0.0,,,,,,1.0,,
sample_56,Tracy/Silke,1,2,0.4166666666666667,0.0,0.0,,,0.0,0.4074074074074074,0.0,0.14285714285714285
sample_57,Tracy/Silke,5,1,0.01948051948051948,0.0,0.0,0.0,0.0,0.052980132450331126,0.98,0.0,0.0
sample_59,Tracy/Silke,5,3,0.09644670050761421,0.0,0.0,0.14285714285714285,0.07142857142857142,0.01366742596810934,0.8516129032258064,0.0,0.07207207207207207
