Sample,office,x,y,Cami,Heidi,Urza,Lily,Fritzy,ThorA,Anda,Vito,Charlie
sample_60,Tracy/Silke Hallway,1,,0.03571428571428571,0.0,0.0,0.0,0.3333333333333333,0.0,0.9565217391304348,0.0,0.0
sample_61,Tracy/Silke Hallway,2,,0.05,0.0,0.0,0.0,0.0,0.043859649122807015,0.98,0.0,0.0
sample_62,Tracy/Silke Hallway,3,,0.0,,0.0,,,0.0,1.0,0.0,0.0
sample_63,Tracy/Silke Hallway,4,,0.0,0.0,0.0,,,,1.0,0.0,0.0
sample_64,Tracy/Silke Hallway,5,,0.08333333333333333,0.0,0.0,,0.0,,0.9090909090909091,0.0,0.0
sample_65,Tracy/Silke Hallway,6,,0.0,0.0,0.0,,0.0,0.02631578947368421,1.0,0.0,0.037037037037037035
