Sample,Cami,Heidi,Urza,Lily,Fritzy,Anda_Vito,ThorA,Anda,Vito,Charlie
sample_59,0.09644670050761421,0.0,0.0,0.14285714285714285,0.07142857142857142,0.9583333333333334,0.01366742596810934,0.8516129032258064,0.0,0.07207207207207207
sample_60,0.03571428571428571,0.0,0.0,0.0,0.3333333333333333,0.9090909090909091,0.0,0.9565217391304348,0.0,0.0
sample_61,0.05,0.0,0.0,0.0,0.0,1.0,0.043859649122807015,0.98,0.0,0.0
sample_62,0.0,,0.0,,,1.0,0.0,1.0,0.0,0.0
sample_63,0.0,0.0,0.0,,,1.0,,1.0,0.0,0.0
sample_64,0.08333333333333333,0.0,0.0,,0.0,1.0,,0.9090909090909091,0.0,0.0
sample_65,0.0,0.0,0.0,,0.0,1.0,0.02631578947368421,1.0,0.0,0.037037037037037035
sample_66,0.2222222222222222,0.0,,,,0.5,0.0,0.5,0.0,0.0
sample_67,0.09401709401709402,0.0,0.0,0.0,0.2,0.625,0.024242424242424242,0.8105263157894737,0.0,0.0
sample_68,0.09090909090909091,0.5,0.0,1.0,0.0,0.6666666666666666,0.010471204188481676,0.8064516129032258,0.0,0.0
sample_69,0.04560260586319218,0.023255813953488372,0.025,0.4666666666666667,0.038461538461538464,0.7435897435897436,0.010587102983638113,0.9220183486238532,0.02702702702702703,0.0
sample_70,0.26666666666666666,0.0,0.0,0.5,0.6,0.16666666666666666,0.07407407407407407,0.6190476190476191,0.0,0.0
sample_71,0.13333333333333333,0.0,0.0,0.25,0.6666666666666666,0.0,0.0,0.5789473684210527,0.0,0.05555555555555555
sample_72,0.13333333333333333,0.0,0.0,0.375,0.1111111111111111,0.7407407407407407,0.0030303030303030303,0.8046875,0.0,0.07777777777777778
sample_73,0.24293785310734464,0.0,0.0,0.16666666666666666,0.0,0.7,0.0029717682020802376,0.7154471544715447,0.1875,0.0379746835443038
sample_74,0.6470588235294118,0.0,0.0,0.0,0.0,0.0,0.0,0.45454545454545453,0.0,0.0
sample_75,0.9593908629441624,0.0,0.0,0.0,0.0,0.06097560975609756,0.0,0.037914691943127965,0.0,0.003424657534246575
sample_76,0.13636363636363635,0.0,0.0,0.0,0.0,0.0,0.0,0.6,,0.0
sample_77,0.9101694915254237,0.0,0.0,0.0,0.017543859649122806,0.04225352112676056,0.0004723665564478035,0.06904761904761905,0.0,0.03103448275862069
sample_78,0.4583333333333333,0.0,0.0,,,0.0,0.018867924528301886,0.5625,0.0,0.0
sample_79,0.17272727272727273,0.0,0.07142857142857142,0.0,0.3333333333333333,0.2857142857142857,0.0,0.64,0.0,0.21428571428571427
sample_80,1.0,0.0,,,,,,0.0,,0.0
sample_81,0.2289156626506024,0.0,0.0,0.0,0.6666666666666666,0.05555555555555555,0.0,0.44776119402985076,0.0,0.027777777777777776
sample_82,0.2,,0.0,,,1.0,,0.7692307692307693,0.0,0.0
sample_83,,,,,,,,,,
