Sample,office,x,y,Cami,Heidi,Urza,Lily,Fritzy,ThorA,Anda,Vito,Charlie
sample_35,Mimi/Linda,1,1,,,,,,,,,
sample_36,Mimi/Linda,2,1,0.019150467962562995,0.0,0.0,0.6185567010309279,0.0,0.011088596194979174,0.9756762015956412,0.001288659793814433,0.0008532423208191126
sample_37,Mimi/Linda,3,1,0.01797374148704627,0.0,0.0,0.27979274611398963,0.0008291873963515755,0.019386005921770297,0.9882990039648003,0.0006184291898577613,0.00028876696505919725
sample_38,Mimi/Linda,4,1,0.016736401673640166,0.0,0.0,0.45454545454545453,0.0,0.04819277108433735,0.9866666666666667,0.0,0.0
sample_40,Mimi/Linda,3,3,0.018716772267132767,0.0,0.0005980861244019139,0.41959798994974873,0.0026362038664323375,0.012155870129058466,0.9797838270616493,0.0006006006006006006,0.0005813108559802354
sample_41,Mimi/Linda,2,3,0.019043917605907502,0.0012121212121212121,0.0,0.919047619047619,0.0,0.0037873840929868096,0.9432237651608367,0.0011273957158962795,0.00026041666666666666
sample_42,Mimi/Linda,1,3,0.01881303335919317,0.0,0.0,0.44755244755244755,0.002652519893899204,0.01666203832268814,0.9772430028773215,0.0014705882352941176,0.00038182512409316535
sample_44,Mimi/Linda,3,2,0.02297165200391007,0.0,0.0,0.27586206896551724,0.0,0.022595078299776285,0.9879245283018868,0.004032258064516129,0.0022497187851518562
